DistrictNumber,DistrictType,SchoolNumber,MNSchoolID,SchoolName,Address,City,State,Zipcode,County,Grades,NCESID,StateOrganizationId,ACTID
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4120,7,0,4120-07,St. Croix Preparatory Academy,4260 Stagecoach Trl N,Stillwater,MN,55082-1197,"Washington County, MN", KG-12,2700362,74120000000,
4120,7,10,4120-07-010,St. Croix Preparatory Academy Lower,4620 Stagecoach Tr N,Stillwater,MN,55082-1197,"Washington County, MN", KG-4,270036000000,74120010000,
4120,7,20,4120-07-020,St. Croix Preparatory Academy Middle,4620 Stagecoach Tr N,Stillwater,MN,55082-1197,"Washington County, MN", 5-8,270036000000,74120020000,242449
4120,7,30,4120-07-030,St. Croix Preparatory Academy Upper,4260 Stagecoach Tr N,Stillwater,MN,55082,"Washington County, MN", 9-12,270036000000,74120030000,242449
4120,7,40,4120-07-040,District Wide Extended School Year,4260 Stagecoach Trail N,Stillwater,MN,55082,"Washington County, MN", 1-12,2700362,74120040000,
4121,7,0,4121-07,Ubah Medical Academy Charter School,1600 Main St,Hopkins,MN,55343-7409,"Hennepin County, MN", 9-12,2700363,74121000000,
4121,7,10,4121-07-010,Ubah Medical Academy Charter School,1600 Main St,Hopkins,MN,55343-7409,"Hennepin County, MN", 9-12,270036000000,74121010000,972488
4122,7,0,4122-07,Eagle Ridge Academy Charter School,11111 Bren Road West,Minnetonka,MN,55343,"Hennepin County, MN", KG-12,2700364,74122000000,
4122,7,10,4122-07-010,Eagle Ridge Academy Charter School,11111 Bren Road W,Minnetonka,MN,55343,"Hennepin County, MN", 6-12,270036000000,74122010000,240699
4122,7,20,4122-07-020,Eagle Ridge Academy Lower School,11111 Bren Road W,Minnetonka,MN,55343,"Hennepin County, MN", KG-5,270036000000,74122020000,
4124,7,0,4124-07,Beacon Academy,3415 Louisiana Avenue North,Crystal,MN,55427,"Hennepin County, MN", KG-8,2700366,74124000000,
4124,7,10,4124-07-010,Beacon Academy,3415 Louisiana Ave. N.,Crystal,MN,55427,"Hennepin County, MN", KG-8,270037000000,74124010000,
