DistrictNumber,DistrictType,SchoolNumber,MNSchoolID,SchoolName,Address,City,State,Zipcode,County,Grades,NCESID,StateOrganizationId,ACTID
238,1,2,0238-01-002,Mabel-Canton Secondary,316 W Fillmore Ave,Mabel,MN,55954,"Fillmore County, MN", 7-12,271854000000,10238002000,241440
239,1,0,0239-01,Rushford-Peterson Public Schools,1000 Pine Meadows Lane,Rushford,MN,55971,"Fillmore County, MN",,2728290,10239000000,247240
239,1,1,0239-01-001,Rushford-Peterson Elementary,1000 Pine Meadows Lane,Rushford,MN,55971,"Fillmore County, MN", EC+KG-5,272829000000,10239001000,
239,1,2,0239-01-002,Rushford-Peterson Senior High,1000 Pine Meadows Lane,Rushford,MN,55971,"Fillmore County, MN", 9-12,272829000000,10239002000,242150
239,1,3,0239-01-003,Rushford-Peterson Middle,1000 Pine Meadows Lane,Rushford,MN,55971,"Fillmore County, MN", 6-8,272829000000,10239003000,
239,1,4,0239-01-004,Rushford-Peterson ESY,1000 Pine Meadows Lane,Rushford,MN,55971,"Fillmore County, MN", 1-12,2728290,10239004000,
241,1,0,0241-01,Albert Lea Public School District,211 W Richway Dr,Albert Lea,MN,56007-2477,"Freeborn County, MN",,2702970,10241000000,247246
241,1,110,0241-01-110,Halverson Elementary,707 E 10th St,Albert Lea,MN,56007-3254,"Freeborn County, MN", EC-5,270297000000,10241110000,
241,1,111,0241-01-111,Brookside Early Childhood Special Education,211 West Richway Dr,Albert Lea,MN,56007-2164,"Freeborn County, MN", EC-PK,270297000000,10241111000,
241,1,112,0241-01-112,Extended School Year,211 West Richway Dr,Albert Lea,MN,56007-2164,"Freeborn County, MN", KG-12,2702970,10241112000,
241,1,120,0241-01-120,Hawthorne Elementary,1000 E Hawthorne,Albert Lea,MN,56007-3613,"Freeborn County, MN", EC-5,270297000000,10241120000,
241,1,130,0241-01-130,Lakeview Elementary,902 Abbott St,Albert Lea,MN,56007-4404,"Freeborn County, MN", KG-5,270297000000,10241130000,
241,1,140,0241-01-140,Sibley Elementary,1501 W Front St,Albert Lea,MN,56007-1810,"Freeborn County, MN", KG-5,270297000000,10241140000,
241,1,310,0241-01-310,Albert Lea Senior High,2000 Tiger Ln,Albert Lea,MN,56007-6307,"Freeborn County, MN", 8-12,270297000000,10241310000,240040
241,1,320,0241-01-320,Southwest Middle,1601 W Front St,Albert Lea,MN,56007-1812,"Freeborn County, MN", 6-7,270297000000,10241320000,
241,1,350,0241-01-350,Albert Lea Area Learning Center,2200 Riverland Drive,Albert Lea,MN,56007,"Freeborn County, MN", 6-12,270297000000,10241350000,973751
241,1,360,0241-01-360,Albert Lea Targeted Services,211 W Richway Dr,Albert Lea,MN,56007-2164,"Freeborn County, MN", KG-7,270297000000,10241360000,
242,1,0,0242-01,Alden-Conger Public School District,215 N Broadway,Alden,MN,56009-0099,"Freeborn County, MN",,2703030,10242000000,247248
242,1,1,0242-01-001,Alden-Conger Secondary,215 N Broadway,Alden,MN,56009-0099,"Freeborn County, MN", 7-12,270303000000,10242001000,240050
242,1,2,0242-01-002,Alden-Conger Elementary,215 N Broadway,Alden,MN,56009-0099,"Freeborn County, MN", EC+KG-6,270303000000,10242002000,
242,1,6,0242-01-006,Alden-Conger ESY Site,215 N. Broadway,Alden,MN,56009,"Freeborn County, MN", 1-12,2703030,10242006000,
252,1,0,0252-01,Cannon Falls Public School District,820 E Minnesota St,Cannon Falls,MN,55009-2299,"Goodhue County, MN",,2707500,10252000000,247256
252,1,1,0252-01-001,Cannon Falls Elementary,1020 E Minnesota St,Cannon Falls,MN,55009-2299,"Goodhue County, MN", EC-5,270750000000,10252001000,
252,1,2,0252-01-002,Cannon Falls Secondary,820 E Minnesota St,Cannon Falls,MN,55009-2299,"Goodhue County, MN", 6-12,270750000000,10252002000,240395
253,1,0,0253-01,Goodhue Public School District,510 3rd Ave,Goodhue,MN,55027-0128,"Goodhue County, MN",,2712900,10253000000,247258
253,1,1,0253-01-001,Goodhue Elementary,510 3rd Ave,Goodhue,MN,55027-0128,"Goodhue County, MN", EC+KG-6,271290000000,10253001000,
253,1,2,0253-01-002,Goodhue Secondary,510 3rd Ave,Goodhue,MN,55027-0128,"Goodhue County, MN", 7-12,271290000000,10253002000,240950
255,1,0,0255-01,Pine Island Public School District,223 1st Ave SE,Pine Island,MN,55963-0398,"Goodhue County, MN",,2728950,10255000000,247262
255,1,10,0255-01-010,Pine Island Elementary,8749 County Road 5,Pine Island,MN,55963-0398,"Olmsted County, MN", EC-4,272895000000,10255010000,
255,1,15,0255-01-015,Pine Island Middle,223 1st Ave SE,Pine Island,MN,55963-0398,"Goodhue County, MN", 5-8,272895000000,10255015000,
255,1,20,0255-01-020,Pine Island Secondary,223 1st Ave SE,Pine Island,MN,55963-3098,"Goodhue County, MN", 9-12,272895000000,10255020000,242000
255,1,50,0255-01-050,Pine Island High School ALP,223 1st Avenue SE,PINE ISLAND,MN,55963,"Goodhue County, MN", 9-12,272895000000,10255050000,
255,1,80,0255-01-080,ESY Program,223 1st Ave SE,Pine Island,MN,55963,"Goodhue County, MN", EC-12,2728950,10255080000,
256,1,0,0256-01,Red Wing Public School District,2451 Eagle Ridge Dr,Red Wing,MN,55066-7444,"Goodhue County, MN",,2730480,10256000000,247264
256,1,108,0256-01-108,Red Wing Senior High,2451 Eagle Ridge Dr,Red Wing,MN,55066-7444,"Goodhue County, MN", 7-12,273048000000,10256108000,242070
256,1,109,0256-01-109,Twin Bluff School,2120 Twin Bluff Rd,Red Wing,MN,55066-3009,"Goodhue County, MN", KG-6,273048000000,10256109000,
256,1,537,0256-01-537,Burnside Elementary,5001 Learning Ln,Red Wing,MN,55066-9224,"Goodhue County, MN", KG-6,273048000000,10256537000,
256,1,540,0256-01-540,Jefferson Elementary,601 Buchanan St,Red Wing,MN,55066,"Goodhue County, MN", KG-6,273048000000,10256540000,
256,1,541,0256-01-541,Sunnyside Elementary,1669 Southwood Ave,Red Wing,MN,55066-3200,"Goodhue County, MN", KG-6,273048000000,10256541000,
256,1,542,0256-01-542,Colvill Family Education Center,269 E 5th St,Red Wing,MN,55066-2717,"Goodhue County, MN", EC,273048000000,10256542000,
261,1,0,0261-01,Ashby Public School District,300 Birch Ave,Ashby,MN,56309-0030,"Grant County, MN",,2703300,10261000000,247270
261,1,10,0261-01-010,Ashby Elementary,300 Birch Ave,Ashby,MN,56309-0030,"Grant County, MN", EC-6,270330000000,10261010000,
261,1,20,0261-01-020,Ashby Secondary,300 Birch Ave,Ashby,MN,56309-0030,"Grant County, MN", 7-12,270330000000,10261020000,240100
264,1,0,0264-01,Herman-Norcross School District,504 Lois Ave N,Herman,MN,56248-0288,"Grant County, MN",,2713890,10264000000,247278
264,1,1,0264-01-001,Herman Elementary,504 Lois Ave N,Herman,MN,56248-0288,"Grant County, MN", EC-6,271389000000,10264001000,
264,1,2,0264-01-002,Herman Secondary,504 Lois Ave N,Herman,MN,56248-0288,"Grant County, MN", 7-12,271389000000,10264002000,241090
270,1,0,0270-01,Hopkins Public School District,1001 Hwy 7,Hopkins,MN,55305-4723,"Hennepin County, MN",,2714260,10270000000,247288
270,1,6,0270-01-006,ESY (Special Education Summer Program),1001 Hwy 7,Hopkins,MN,55305-4723,"Hennepin County, MN", KG-12,2714260,10270006000,
270,1,93,0270-01-093,Transition Plus,9400 Cedar Lake Rd,Saint Louis Park,MN,55426-2361,"Hennepin County, MN",12,271426000000,10270093000,
270,1,282,0270-01-282,Hopkins Senior High,2400 Lindbergh Dr,Minnetonka,MN,55305-3124,"Hennepin County, MN", 10-12,271426000000,10270282000,241153
270,1,378,0270-01-378,Hopkins North Junior High,10700 Cedar Lake Rd,Minnetonka,MN,55305-3361,"Hennepin County, MN", 7-9,271426000000,10270378000,
270,1,380,0270-01-380,Hopkins West Junior High,3830 Baker Rd,Minnetonka,MN,55305-4900,"Hennepin County, MN", 7-9,271426000000,10270380000,
270,1,561,0270-01-561,Alice Smith Elementary,801 Minnetonka Mills Rd,Hopkins,MN,55343-7266,"Hennepin County, MN", EC-6,271426000000,10270561000,
270,1,563,0270-01-563,Glen Lake Elementary,4801 Woodridge Rd,Minnetonka,MN,55345-3944,"Hennepin County, MN", EC-6,271426000000,10270563000,
270,1,564,0270-01-564,Harley Hopkins Family Center,125 Monroe Ave S,Hopkins,MN,55343-8405,"Hennepin County, MN", EC,271426000000,10270564000,
270,1,566,0270-01-566,Eisenhower Elementary,1001 Hwy 7,Hopkins,MN,55305-4723,"Hennepin County, MN", EC-6,271426000000,10270566000,
270,1,567,0270-01-567,L.H. Tanglen Elementary,10901 Hillside Ln,Minnetonka,MN,55305-2577,"Hennepin County, MN", PK-6,271426000000,10270567000,
270,1,568,0270-01-568,Xinxing Academy,1001 Hwy 7,Hopkins,MN,55305,"Hennepin County, MN", KG-6,271426000000,10270568000,
270,1,569,0270-01-569,Gatewood Elementary,14900 Gatewood Dr,Minnetonka,MN,55345-6731,"Hennepin County, MN", EC-6,271426000000,10270569000,
270,1,570,0270-01-570,Meadowbrook Elementary,5430 Glenwood Ave,Golden Valley,MN,55422-5120,"Hennepin County, MN", EC-6,271426000000,10270570000,
270,1,611,0270-01-611,SENOPS,1001 Highway 7,Hopkins,MN,55305,"Hennepin County, MN", KG-12,271426000000,10270611000,
271,1,0,0271-01,Bloomington Public School District,1350 W 106th St,Bloomington,MN,55431-4152,"Hennepin County, MN",,2705790,10271000000,247280
271,1,7,0271-01-007,Kennedy Senior High,9701 Nicollet Ave S,Bloomington,MN,55420-4498,"Hennepin County, MN", 9-12,270579000000,10271007000,240265
271,1,9,0271-01-009,Jefferson Senior High,4001 W 102nd St,Bloomington,MN,55437-2699,"Hennepin County, MN", 9-12,270579000000,10271009000,240268
271,1,13,0271-01-013,Oak Grove Middle,1300 W 106th St,Bloomington,MN,55431-4152,"Hennepin County, MN", 6-8,270579000000,10271013000,
271,1,345,0271-01-345,Valley View Middle,8900 Portland Ave,Bloomington,MN,55420-2994,"Hennepin County, MN", 6-8,270579000000,10271345000,
271,1,346,0271-01-346,Olson Middle,4551 W 102nd St,Bloomington,MN,55437-2698,"Hennepin County, MN", 6-8,270579000000,10271346000,
271,1,432,0271-01-432,Washburn Elementary,8401 Xerxes Ave S,Bloomington,MN,55431-1698,"Hennepin County, MN", EC-5,270579000000,10271432000,
271,1,443,0271-01-443,Hillcrest Elementary,9301 Thomas Rd,Bloomington,MN,55431-2471,"Hennepin County, MN", KG-5,270579000000,10271443000,
271,1,446,0271-01-446,Indian Mounds Elementary,9801 11th Ave S,Bloomington,MN,55420-5198,"Hennepin County, MN", EC-5,270579000000,10271446000,
271,1,447,0271-01-447,Olson Elementary,4501 W 102nd St,Bloomington,MN,55437-2697,"Hennepin County, MN", KG-5,270579000000,10271447000,
271,1,448,0271-01-448,Oak Grove Elementary,1301 W 104th St,Bloomington,MN,55431-3163,"Hennepin County, MN", EC-5,270579000000,10271448000,
271,1,450,0271-01-450,Normandale Hills Elementary,9501 Toledo Ave S,Bloomington,MN,55437-3799,"Hennepin County, MN", KG-5,270579000000,10271450000,
271,1,454,0271-01-454,Poplar Bridge Elementary,8401 Palmer Rd,Bloomington,MN,55437-1389,"Hennepin County, MN", KG-5,270579000000,10271454000,
271,1,455,0271-01-455,Ridgeview Elementary,9400 Nesbitt Rd,Bloomington,MN,55438-1998,"Hennepin County, MN", KG-5,270579000000,10271455000,
271,1,459,0271-01-459,Valley View Elementary,351 E 88th St,Bloomington,MN,55420-2996,"Hennepin County, MN", EC-5,270579000000,10271459000,
271,1,461,0271-01-461,Westwood Elementary,3701 W 108th St,Bloomington,MN,55431-3695,"Hennepin County, MN", KG-5,270579000000,10271461000,
271,1,502,0271-01-502,Bloomington ECSE,4901 West 112th St,Bloomington,MN,55437-3404,"Hennepin County, MN", EC,270579000000,10271502000,
271,1,502,0271-01-502,Bloomington ECSE,4901 West 112th St,Bloomington,MN,55437-3404,"Hennepin County, MN", EC,270579000000,10271502000,
271,1,530,0271-01-530,Bloomington Extended School Year,1350 West 106th St,Bloomington,MN,55431,"Hennepin County, MN", 1-12,2705790,10271530000,
271,1,535,0271-01-535,Bloomington Shared Time,1350 West 106th St,Bloomington,MN,55431,"Hennepin County, MN", KG-12,270579000000,10271535000,
271,1,536,0271-01-536,Bloomington Transition Center,2575 West 88th Street,Bloomington,MN,55431,"Hennepin County, MN", 9-12,270579000000,10271536000,
271,1,620,0271-01-620,Choice Alternative High School,2575 W 88th St,Bloomington,MN,55431,"Hennepin County, MN", 9-12,270579000000,10271620000,991634
271,1,629,0271-01-629,Beacon ALP,9701 Nicollet Ave,Bloomington,MN,55420-4448,"Hennepin County, MN", 9-12,270579000000,10271629000,
271,1,734,0271-01-734,Choice Alternative High School IS,2575 W 88th St,Bloomington,MN,55431,"Hennepin County, MN", 9-12,270579000000,10271734000,
271,1,740,0271-01-740,Beacon ALP IS,9701 Nicollet Ave S,Bloomington,MN,55420,"Hennepin County, MN", 9-12,270579000000,10271740000,
272,1,0,0272-01,Eden Prairie Public School District,8100 School Rd,Eden Prairie,MN,55344-2292,"Hennepin County, MN",,2714220,10272000000,247284
272,1,12,0272-01-012,EP Distance Learning Academy,8100 School Road,Eden Prairie,MN,55344,"Hennepin County, MN", KG-6,271422000000,10272012000,
272,1,51,0272-01-051,ESY,8100 School Rd,Eden Prairie,MN,55347,"Hennepin County, MN", 1-12,2714220,10272051000,
272,1,64,0272-01-064,Eden Prairie Senior High,17185 Valley View Rd,Eden Prairie,MN,55346-4253,"Hennepin County, MN", 9-12,271422000000,10272064000,241150
272,1,65,0272-01-065,Central Middle School,8025 School Rd,Eden Prairie,MN,55344-2291,"Hennepin County, MN", 7-8,271422000000,10272065000,
272,1,66,0272-01-066,Eden Prairie Online,8100 School Road,Eden Prairie,MN,55344,"Hennepin County, MN", 9-12,271422000000,10272066000,
272,1,880,0272-01-880,Oak Point Elementary,13400 Staring Lake Pkwy,Eden Prairie,MN,55347-1800,"Hennepin County, MN", KG-6,271422000000,10272880000,
272,1,881,0272-01-881,Prairie View Elementary,17255 Peterborg Rd,Eden Prairie,MN,55346-3544,"Hennepin County, MN", KG-6,271422000000,10272881000,
272,1,882,0272-01-882,Forest Hills Elementary,13708 Holly Rd,Eden Prairie,MN,55346-2805,"Hennepin County, MN", KG-6,271422000000,10272882000,
272,1,883,0272-01-883,Eden Lake Elementary,1200 Anderson Lakes Pkwy,Eden Prairie,MN,55344-6696,"Hennepin County, MN", KG-6,271422000000,10272883000,
272,1,884,0272-01-884,Early Childhood Special Ed.,8040 Mitchell Rd,Eden Prairie,MN,55344-2230,"Hennepin County, MN", EC,271422000000,10272884000,
272,1,886,0272-01-886,Eagle Heights Spanish Immersion,13400 Staring Lake Pkwy,Eden Prairie,MN,55347,"Hennepin County, MN", KG-6,271422000000,10272886000,
272,1,887,0272-01-887,Cedar Ridge Elementary,8905 Braxton Dr,Eden Prairie,MN,55347-3341,"Hennepin County, MN", KG-6,271422000000,10272887000,
272,1,889,0272-01-889,Tassel Transition,8040 Mitchell Rd ,Eden Prairie,MN,55344,"Hennepin County, MN",12,271422000000,10272889000,
273,1,0,0273-01,Edina Public School District,5701 Normandale Rd,Edina,MN,55424-1599,"Hennepin County, MN",,2711250,10273000000,247286
273,1,19,0273-01-019,South View Middle,4725 S View Ln,Edina,MN,55424,"Hennepin County, MN", 6-8,271125000000,10273019000,
273,1,20,0273-01-020,Valley View Middle,6750 Valley View Rd,Edina,MN,55439,"Hennepin County, MN", 6-8,271125000000,10273020000,
273,1,21,0273-01-021,Edina Senior High,6754 Valley View Rd,Edina,MN,55439,"Hennepin County, MN", 9-12,271125000000,10273021000,240708
273,1,515,0273-01-515,Special Ed-Non Public,5701 Normandale Rd,Edina,MN,55424-1599,"Hennepin County, MN", KG-12,271125000000,10273515000,
273,1,516,0273-01-516,Edina Extended School Year,5701 Normandale Rd,Edina,MN,55424,"Hennepin County, MN", 1-12,2711250,10273516000,
273,1,526,0273-01-526,Concord Elementary,5900 Concord Ave S,Edina,MN,55424,"Hennepin County, MN", KG-5,271125000000,10273526000,
273,1,527,0273-01-527,Cornelia Elementary,7000 Cornelia Dr,Edina,MN,55435,"Hennepin County, MN", KG-5,271125000000,10273527000,
273,1,528,0273-01-528,Countryside Elementary,5701 Benton Ave S,Edina,MN,55436,"Hennepin County, MN", KG-5,271125000000,10273528000,
273,1,529,0273-01-529,Highlands Elementary,5505 Doncaster Way,Edina,MN,55436,"Hennepin County, MN", KG-5,271125000000,10273529000,
273,1,532,0273-01-532,Creek Valley Elementary,6401 Gleason Rd,Edina,MN,55439,"Hennepin County, MN", KG-5,271125000000,10273532000,
273,1,533,0273-01-533,Normandale Elementary,5701 Normandale Rd,Edina,MN,55424,"Hennepin County, MN", KG-5,271125000000,10273533000,
273,1,535,0273-01-535,Early Childhood Special Ed,5701 Normandale Rd,Edina,MN,55424,"Hennepin County, MN", EC+KG,271125000000,10273535000,
273,1,621,0273-01-621,Options At Edina High School,6754 Valley View Rd,Edina,MN,55439,"Hennepin County, MN", 10-12,271125000000,10273621000,
276,1,0,0276-01,Minnetonka Public School District,5621 County Rd 101,Minnetonka,MN,55345-4214,"Hennepin County, MN",,2711670,10276000000,247292
276,1,72,0276-01-072,Tonka Online,18301 Hwy 7,Minnetonka,MN,55345-4114,"Hennepin County, MN", 7-12,271167000000,10276072000,
276,1,74,0276-01-074,Minnetonka Senior High,18301 Hwy 7,Minnetonka,MN,55345-4114,"Hennepin County, MN", 9-12,271167000000,10276074000,240780
276,1,75,0276-01-075,Minnetonka East Middle,17000 Lake St Extension,Minnetonka,MN,55345-2530,"Hennepin County, MN", 6-8,271167000000,10276075000,
276,1,77,0276-01-077,Transition Plus,9400 Cedar Lake Road,Saint Louis Park,MN,55426,"Hennepin County, MN",12,271167000000,10276077000,
276,1,175,0276-01-175,Minnetonka West Middle,6421 Hazeltine Blvd,Excelsior,MN,55331-8028,"Carver County, MN", 6-8,271167000000,10276175000,
276,1,601,0276-01-601,Clear Springs Elementary,5701 Hwy 101,Minnetonka,MN,55345,"Hennepin County, MN", KG-5,271167000000,10276601000,
276,1,602,0276-01-602,Deephaven Elementary,4452 Vine Hill Rd,Wayzata,MN,55391-3539,"Hennepin County, MN", KG-5,271167000000,10276602000,
276,1,603,0276-01-603,Excelsior Elementary,441 Oak St,Excelsior,MN,55331-3096,"Hennepin County, MN", KG-5,271167000000,10276603000,
276,1,604,0276-01-604,Groveland Elementary,17310 Minnetonka Blvd,Minnetonka,MN,55345-1003,"Hennepin County, MN", KG-5,271167000000,10276604000,
276,1,605,0276-01-605,Minnewashta Elementary,26350 Smithtown Rd,Excelsior,MN,55331-8596,"Hennepin County, MN", KG-5,271167000000,10276605000,
276,1,606,0276-01-606,Scenic Heights Elementary,5650 Scenic Heights Dr,Minnetonka,MN,55345-5235,"Hennepin County, MN", KG-5,271167000000,10276606000,
276,1,900,0276-01-900,Deephaven Education Center,4584 Vine Hill Rd,Excelsior,MN,55331-9164,"Hennepin County, MN", EC-PK,271167000000,10276900000,
277,1,0,0277-01,Westonka Public School District,5901 Sunnyfield Rd E,Minnetrista,MN,55364-8250,"Hennepin County, MN",,2722920,10277000000,247294
277,1,62,0277-01-062,Mound Westonka High School,5905 Sunnyfield Rd E,Minnetrista,MN,55364-8251,"Hennepin County, MN", 8-12,272292000000,10277062000,241775
277,1,63,0277-01-063,Grandview Middle School,1881 Commerce Blvd,Mound,MN,55364-1199,"Hennepin County, MN", 5-7,272292000000,10277063000,
277,1,615,0277-01-615,Shirley Hills Primary School,2450 Wilshire Blvd,Mound,MN,55364-1697,"Hennepin County, MN", KG-4,272292000000,10277615000,
277,1,616,0277-01-616,Hilltop Primary School,5700 Game Farm Rd,Minnetrista,MN,55364-8366,"Hennepin County, MN", KG-4,272292000000,10277616000,
277,1,618,0277-01-618,Westonka Sp Ed ECFE,5901 Sunnyfield Road E,Minnetrista,MN,55364,"Hennepin County, MN", EC-PK,272292000000,10277618000,
277,1,619,0277-01-619,Westonka Extended School Year,5901 Sunnyfield Rd E,Minnetrista,MN,55364,"Hennepin County, MN", 8-12,2722920,10277619000,
277,1,620,0277-01-620,Transition Plus,5905 Sunnyfield Rd E,Minnetrista,MN,55364,"Hennepin County, MN",12,272292000000,10277620000,
278,1,0,0278-01,Orono Public School District,685 Old Crystal Bay Rd N,Long Lake,MN,55356-8315,"Hennepin County, MN",,2725080,10278000000,247296
278,1,30,0278-01-030,Orono Senior High,795 Old Crystal Bay Rd N,Long Lake,MN,55356-0026,"Hennepin County, MN", 9-12,272508000000,10278030000,241410
278,1,31,0278-01-031,Orono Middle,800 Old Crystal Bay Rd N,Long Lake,MN,55356-0016,"Hennepin County, MN", 6-8,272508000000,10278031000,
278,1,661,0278-01-661,Schumann Elementary,765 Old Crystal Bay Rd N,Long Lake,MN,55356-0006,"Hennepin County, MN", PK-2,272508000000,10278661000,
278,1,662,0278-01-662,Orono Intermediate Elementary,685 Old Crystal Bay Rd N,Long Lake,MN,55356-0136,"Hennepin County, MN", 3-5,272508000000,10278662000,
278,1,663,0278-01-663,Orono Discovery Center,5050 Independence St,Maple Plain,MN,55359-9642,"Hennepin County, MN", EC-PK,272508000000,10278663000,
278,1,670,0278-01-670,Orono Extended School Year,685 Old Crystal Bay Rd N,Long Lake,MN,55356,"Hennepin County, MN", EC,2725080,10278670000,
279,1,0,0279-01,Osseo Public School District,11200 93rd Ave N,Maple Grove,MN,55369-6605,"Hennepin County, MN",,2725200,10279000000,247298
279,1,32,0279-01-032,Osseo Senior High,317 2nd Ave NW,Osseo,MN,55369-1000,"Hennepin County, MN", 9-12,272520000000,10279032000,241930
279,1,33,0279-01-033,"Brooklyn Middle School, a Science, Technology, Engineering, Art and Math School",7377 Noble Ave N,Brooklyn Park,MN,55443-3396,"Hennepin County, MN", 6-8,272520000000,10279033000,
279,1,34,0279-01-034,Osseo Middle School,10223 93rd Ave N,Osseo,MN,55369-4197,"Hennepin County, MN", 6-8,272520000000,10279034000,
279,1,42,0279-01-042,Osseo Education Center,324 6th Ave NE,Osseo,MN,55369-3678,"Hennepin County, MN",12,272520000000,10279042000,
279,1,44,0279-01-044,Osseo Area Learning Center,7300 Boone Ave N,Brooklyn Park,MN,55428-1001,"Hennepin County, MN", 9-12,272520000000,10279044000,240320
279,1,46,0279-01-046,Extended School Year,11200 93rd Ave N,Maple Grove,MN,55369,"Hennepin County, MN", 1-12,2725200,10279046000,
279,1,86,0279-01-086,North View Middle School,5869 69th Ave N,Brooklyn Park,MN,55429-1598,"Hennepin County, MN", 6-8,272520000000,10279086000,
279,1,88,0279-01-088,Park Center IB World School,7300 Brooklyn Blvd,Brooklyn Park,MN,55443-3395,"Hennepin County, MN", 9-12,272520000000,10279088000,240319
279,1,90,0279-01-090,Maple Grove Senior High,9800 Fernbrook Ln,Maple Grove,MN,55369-9747,"Hennepin County, MN", 9-12,272520000000,10279090000,241489
279,1,94,0279-01-094,Maple Grove Middle School,7000 Hemlock Ln,Maple Grove,MN,55369-7659,"Hennepin County, MN", 6-8,272520000000,10279094000,
279,1,665,0279-01-665,Woodland Elementary,4501 Oak Grove Pkwy,Brooklyn Park,MN,55443-4023,"Hennepin County, MN", PK-5,272520000000,10279665000,
279,1,668,0279-01-668,Edinbrook Elementary,8925 Zane Ave N,Brooklyn Park,MN,55443-1631,"Hennepin County, MN", EC-5,272520000000,10279668000,
279,1,669,0279-01-669,Rush Creek Elementary,8801 County Rd 101,Maple Grove,MN,55311-4311,"Hennepin County, MN", PK-5,272520000000,10279669000,
279,1,670,0279-01-670,Basswood Elementary,15425 Bass Lake Rd,Maple Grove,MN,55311-3260,"Hennepin County, MN", PK-5,272520000000,10279670000,
279,1,671,0279-01-671,Birch Grove School For The Arts,4690 Brookdale Dr N,Brooklyn Park,MN,55443-2699,"Hennepin County, MN", EC-5,272520000000,10279671000,
279,1,672,0279-01-672,Crest View Elementary,8200 Zane Ave N,Brooklyn Park,MN,55443-2199,"Hennepin County, MN", EC-5,272520000000,10279672000,
279,1,673,0279-01-673,"Weaver Lake Science, Math & Technology School",15900 Weaver Lake Rd,Maple Grove,MN,55311-1431,"Hennepin County, MN", PK-5,272520000000,10279673000,
279,1,674,0279-01-674,Fair Oaks Elementary,5600 65th Ave N,Brooklyn Park,MN,55429-2096,"Hennepin County, MN", EC-5,272520000000,10279674000,
279,1,675,0279-01-675,Garden City Elementary,3501 65th Ave N,Brooklyn Center,MN,55429-2299,"Hennepin County, MN", EC-5,272520000000,10279675000,
279,1,678,0279-01-678,Palmer Lake Elementary,7300 W Palmer Lake Dr,Brooklyn Park,MN,55429-3599,"Hennepin County, MN", EC-5,272520000000,10279678000,
279,1,679,0279-01-679,Park Brook Elementary,7400 Hampshire Ave N,Brooklyn Park,MN,55428-1499,"Hennepin County, MN", EC-5,272520000000,10279679000,
279,1,681,0279-01-681,"Zanewood Community School, Science, Technology, Engineering, Arts and Math",7000 Zane Ave N,Brooklyn Park,MN,55429-1099,"Hennepin County, MN", EC-5,272520000000,10279681000,
279,1,682,0279-01-682,Cedar Island Elementary,6777 Hemlock Ln,Maple Grove,MN,55369-5599,"Hennepin County, MN", PK-5,272520000000,10279682000,
279,1,684,0279-01-684,Elm Creek Elementary,9830 Revere Ln N,Maple Grove,MN,55369-3499,"Hennepin County, MN", PK-5,272520000000,10279684000,
279,1,685,0279-01-685,Rice Lake Elementary,13755 89th Ave N,Maple Grove,MN,55369-9793,"Hennepin County, MN", PK-5,272520000000,10279685000,
279,1,689,0279-01-689,Fernbrook Elementary,9661 Fernbrook Ln,Maple Grove,MN,55369-9745,"Hennepin County, MN", PK-5,272520000000,10279689000,
279,1,696,0279-01-696,Oak View Elementary,6710 E Fish Lake Rd,Maple Grove,MN,55369-5452,"Hennepin County, MN", PK-5,272520000000,10279696000,
279,1,697,0279-01-697,Early Childhood Special Education,7020 Perry Ave N,Brooklyn Center,MN,55429-1225,"Hennepin County, MN", EC-PK,272520000000,10279697000,
279,1,698,0279-01-698,Arbor View Ech. Special Ed.,9401 Fernbrook Ln,Maple Grove,MN,55369-9746,"Hennepin County, MN", EC-PK,272520000000,10279698000,
279,1,701,0279-01-701,ALC Credit Recovery,7300 Boone Ave N,Brooklyn Park,MN,55428-1001,"Hennepin County, MN", 9-12,272520000000,10279701000,
279,1,702,0279-01-702,ALC Senior High,7300 Boone Ave N,Brooklyn Park,MN,55428-1001,"Hennepin County, MN", 9-12,272520000000,10279702000,
279,1,703,0279-01-703,ALC Independent Study,7300 Boone Ave N,Brooklyn Park,MN,55428-1001,"Hennepin County, MN", 9-12,272520000000,10279703000,
279,1,730,0279-01-730,TS Odyssey Charter School ,6201 Noble Ave. North,Brooklyn Center,MN,55429,"Hennepin County, MN", KG-8,272520000000,10279730000,
279,1,731,0279-01-731,Osseo ALC Alternative Programs,7300 Boone Ave N,Brooklyn Park,MN,55428-1001,"Hennepin County, MN", 9-12,272520000000,10279731000,
279,1,733,0279-01-733,TS Brooklyn Middle School,7377 Noble Ave N,Brooklyn Park,MN,55443-3396,"Hennepin County, MN", 6-8,272520000000,10279733000,
279,1,734,0279-01-734,TS Osseo Middle School,10223 93rd Ave N,Osseo,MN,55369-4197,"Hennepin County, MN", 6-8,272520000000,10279734000,
279,1,765,0279-01-765,TS Woodland Elementary,4501 Oak Grove Pkwy,Brooklyn Park,MN,55443,"Hennepin County, MN", KG-5,272520000000,10279765000,
279,1,768,0279-01-768,TS Edinbrook Elementary,8925 Zane Ave,Brooklyn Park,MN,55443-1631,"Hennepin County, MN", KG-5,272520000000,10279768000,
279,1,769,0279-01-769,TS Rush Creek Elementary,8801 County Rd 101,Maple Grove,MN,55311-4311,"Hennepin County, MN", KG-5,272520000000,10279769000,
