AnalysisLevel,DistrictName,ACTDistrictCode,HighSchoolName,ACTHSCode,GradYear,NumberStudents,AvgEnglish,AvgMath,AvgReading,AvgScience,AvgOverall
School,BAGLEY INDEPENDENT SCHOOL DISTRICT 162,247146,BAGLEY HIGH SCHOOL,240145,2019,40,17,17,17,17,17
School,BAGLEY INDEPENDENT SCHOOL DISTRICT 162,247146,BAGLEY HIGH SCHOOL,240145,2020,35,19,19,19,19,19
School,BAGLEY INDEPENDENT SCHOOL DISTRICT 162,247146,BAGLEY HIGH SCHOOL,240145,2021,11,22.4,22.4,22.4,22.4,22.4
School,BAGLEY INDEPENDENT SCHOOL DISTRICT 162,247146,BAGLEY HIGH SCHOOL,240145,2022,19,17.8,17.8,17.8,17.8,17.8
School,BAGLEY INDEPENDENT SCHOOL DISTRICT 162,247146,BAGLEY HIGH SCHOOL,240145,2023,20,17.9,17.9,17.9,17.9,17.9
School,MINNESOTA TRANSITIONS CHARTER SCHOOLS,24S002,BANAADIR ACADEMY,240028,2019,0,,,,,
School,MINNESOTA TRANSITIONS CHARTER SCHOOLS,24S002,BANAADIR ACADEMY,240028,2020,0,,,,,
School,MINNESOTA TRANSITIONS CHARTER SCHOOLS,24S002,BANAADIR ACADEMY,240028,2021,0,,,,,
School,MINNESOTA TRANSITIONS CHARTER SCHOOLS,24S002,BANAADIR ACADEMY,240028,2022,4,,,,,
School,MINNESOTA TRANSITIONS CHARTER SCHOOLS,24S002,BANAADIR ACADEMY,240028,2023,14,11.1,11.1,11.1,11.1,11.1
School,BARNESVILLE INDEPENDENT SCHOOL DISTRICT 146,247132,BARNESVILLE HIGH SCHOOL,240155,2019,61,19.6,19.6,19.6,19.6,19.6
School,BARNESVILLE INDEPENDENT SCHOOL DISTRICT 146,247132,BARNESVILLE HIGH SCHOOL,240155,2020,45,19.9,19.9,19.9,19.9,19.9
School,BARNESVILLE INDEPENDENT SCHOOL DISTRICT 146,247132,BARNESVILLE HIGH SCHOOL,240155,2021,7,,,,,
School,BARNESVILLE INDEPENDENT SCHOOL DISTRICT 146,247132,BARNESVILLE HIGH SCHOOL,240155,2022,43,20.9,20.9,20.9,20.9,20.9
School,BARNESVILLE INDEPENDENT SCHOOL DISTRICT 146,247132,BARNESVILLE HIGH SCHOOL,240155,2023,47,19.5,19.5,19.5,19.5,19.5
School,BARNUM INDEPENDENT SCHOOL DISTRICT 91,247076,BARNUM HIGH SCHOOL,240160,2019,38,20,20,20,20,20
School,BARNUM INDEPENDENT SCHOOL DISTRICT 91,247076,BARNUM HIGH SCHOOL,240160,2020,27,19.1,19.1,19.1,19.1,19.1
School,BARNUM INDEPENDENT SCHOOL DISTRICT 91,247076,BARNUM HIGH SCHOOL,240160,2021,27,19.2,19.2,19.2,19.2,19.2
School,BARNUM INDEPENDENT SCHOOL DISTRICT 91,247076,BARNUM HIGH SCHOOL,240160,2022,36,19,19,19,19,19
School,BARNUM INDEPENDENT SCHOOL DISTRICT 91,247076,BARNUM HIGH SCHOOL,240160,2023,24,20.1,20.1,20.1,20.1,20.1
School,BATTLE LAKE PUBLIC SCHOOL DISTRICT,247572,BATTLE LAKE PUBLIC SCHOOL,240170,2019,38,21.7,21.7,21.7,21.7,21.7
School,BATTLE LAKE PUBLIC SCHOOL DISTRICT,247572,BATTLE LAKE PUBLIC SCHOOL,240170,2020,26,21.8,21.8,21.8,21.8,21.8
School,BATTLE LAKE PUBLIC SCHOOL DISTRICT,247572,BATTLE LAKE PUBLIC SCHOOL,240170,2021,7,,,,,
School,BATTLE LAKE PUBLIC SCHOOL DISTRICT,247572,BATTLE LAKE PUBLIC SCHOOL,240170,2022,24,20.2,20.2,20.2,20.2,20.2
School,BATTLE LAKE PUBLIC SCHOOL DISTRICT,247572,BATTLE LAKE PUBLIC SCHOOL,240170,2023,22,18.4,18.4,18.4,18.4,18.4
School,BECKER PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 726,247770,BECKER HIGH SCHOOL,240190,2019,208,19.9,19.9,19.9,19.9,19.9
School,BECKER PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 726,247770,BECKER HIGH SCHOOL,240190,2020,167,20.1,20.1,20.1,20.1,20.1
School,BECKER PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 726,247770,BECKER HIGH SCHOOL,240190,2021,121,20.5,20.5,20.5,20.5,20.5
School,BECKER PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 726,247770,BECKER HIGH SCHOOL,240190,2022,117,18.3,18.3,18.3,18.3,18.3
